id,date,produit,categorie,prix_unitaire,quantite,ville
1,2023-01-15,Ordinateur Portable,Electronique,1200.50,2,Paris
2,2023-01-16,Souris sans fil,Accessoires,25.99,5,Lyon
3,2023-01-17,Ecran 27 pouces,Electronique,350.00,1,Marseille
4,2023-01-18,Clavier Mécanique,Accessoires,85.00,3,Paris
5,2023-01-19,Casque Audio,Audio,150.00,2,Bordeaux
6,2023-01-20,Ordinateur Portable,Electronique,1200.50,1,Lyon
7,2023-01-21,Enceinte Bluetooth,Audio,60.00,4,Paris
8,2023-01-22,Clé USB 64Go,Accessoires,15.50,10,Marseille
9,2023-01-23,Ecran 27 pouces,Electronique,350.00,2,Bordeaux
10,2023-01-24,Souris sans fil,Accessoires,25.99,3,Paris
